station_name,station_id,climate_id
ALGONQUIN PARK EAST GATE,42967,6080192
ARMSTRONG A,52900,6040325
ATIKOKAN (AUT),10220,6040327
BANCROFT AUTO,26799,6020LPQ
BARRIE-ORO,42183,6010400
BEATRICE CLIMATE,44183,616I001
BELLEVILLE QUINTE,55238,6117700
BRANTFORD AIRPORT,53378,6110607
BROCKVILLE CLIMATE,47567,6150690
BURLINGTON PIERS (AUT),7868,6010740
CAMERON FALLS (AUT),27674,6010735
CEDAR SPRINGS,55360,6140942
CHAPLEAU A,53603,6100970
CHAPLEAU AIRPORT,55258,6151061
CHATHAM KENT,52118,6041110
COBOURG (AUT),7870,6041222
DELHI CS,27528,6061365
DRYDEN REGIONAL,48869,6131414
EAR FALLS (AUT),27865,6151684
EARLTON A,49489,6101874
EARLTON CLIMATE,47687,6131983
EGBERT CS,27604,6102J13
ELORA RCS,41983,6032125
FORT FRANCES RCS,46507,6012199
GERALDTON A,54240,6072223
GERALDTON AIRPORT,54858,6072230
GODERICH,7747,6.11E+03
GORE BAY CLIMATE,48788,6142286
GORE BAY-MANITOULIN,48372,6022474
GRENADIER ISLAND,10903,6012501
GUELPH TURFGRASS INSTITUTE,55299,6042718
HAMILTON A,49908,6042719
HAMILTON RBG CS,27529,6122847
HARROW CDA AUTO,30266,6092920
KAPUSKASING A,52604,6092919
KAPUSKASING A,54260,6103024
KAPUSKASING CDA ON,30435,6143092
KEMPTVILLE CS,27534,6153193
KENORA A,51137,6153301
KENORA RCS,47307,6133362
KING CITY NORTH,54958,6073976
KINGSTON A,52985,6073978
KINGSTON CLIMATE,47267,6073980
KIRKLAND LAKE,55367,6104027
KITCHENER/WATERLOO,48569,6034076
LAGOON CITY,10911,6034073
LAKE SUPERIOR PROVINCIAL PARK,51958,6154150
LITTLE FLATLAND ISLAND (AUT),43104,6104152
LONDON A,50093,6104142
LONDON CS,10999,6074207
MARATHON A,53138,6144239
MOOSE CREEK WELLS,41738,6114295
MOUNT FOREST (AUT),7844,6054425
MUSKOKA,48368,6014353
NAGAGAMI (AUT),7633,6014351
NEW GLASGOW,4656,6049470
NORTH BAY A,52318,6144473
NORTH BAY AIRPORT,54604,6144478
OSHAWA,48649,6134F10
OTTAWA CDA RCS,30578,6044967
OTTAWA INTL A,49568,6105397
PARRY SOUND CCG,32128,6075420
PEAWANUCK (AUT),10197,6075429
PEAWANUCK A,52878,6145504
PEMBROKE CLIMATE,49068,6115529
PETERBOROUGH A,48952,6015026
PETERBOROUGH TRENTU FARM,55365,6075543
POINT PELEE CS,27533,6135583
POINT PETRE (AUT),7925,6085680
PORT WELLER (AUT),7790,6075788
PUKASKWA (AUT),49848,6075786
RAWSON LAKE (AUT),30455,6155875
RIDGETOWN RCS,32473,6105978
ROYAL ISLAND (AUT),10899,6106001
SARNIA CLIMATE,44323,6016295
SAULT STE MARIE A,50092,6016298
SIOUX LOOKOUT A,51138,6166415
ST CATHARINES A,53000,6166457
SUDBURY A,50840,6016528
SUDBURY CLIMATE,49508,613P001
TERRACE BAY AIRPORT,54606,613F606
THUNDER BAY,49389,6136699
THUNDER BAY A,50132,6046768
THUNDER BAY CS,30682,6036907
TIMMINS A,50460,6016971
TIMMINS CLIMATE,47547,6137154
TOBERMORY RCS,45607,6037201
TORONTO CITY,31688,6017401
TORONTO CITY CENTRE,48549,6127510
TORONTO INTL A,51459,6127519
TRENTON A,5126,6057591
UPSALA (AUT),4057,6057593
UXBRIDGE WEST,50637,6117684
VINELAND STATION RCS,31367,6037776
WAWA A,52998,6037800
WELCOME ISLAND (AUT),4061,6137304
WELLAND-PELHAM,44283,6107276
WIARTON A,53139,6068153
WINDSOR A,54738,6068145
